Make,Model,Year,Price,Color,Mileage
Toyota,Corolla,2019,18000,Red,25000
Honda,Civic,2020,22000,Blue,15000
Ford,Focus,2018,17000,White,30000
Chevrolet,Malibu,2021,24000,Black,10000
BMW,3 Series,2017,25000,Silver,45000
Audi,A4,2016,23000,Gray,50000
Tesla,Model 3,2022,35000,White,5000
Nissan,Altima,2019,21000,Green,20000
Hyundai,Elantra,2020,19000,Yellow,22000
Kia,Optima,2018,16000,Blue,35000
Mercedes-Benz,C-Class,2021,37000,Black,8000
Mazda,3,2020,20000,Red,18000
Jeep,Wrangler,2017,27000,Orange,40000
Volkswagen,Golf,2019,21000,White,27000
Ford,F-150,2021,45000,Blue,12000
Chevrolet,Equinox,2020,26000,Black,15000
Chrysler,Pacifica,2021,32000,Silver,5000
Honda,Accord,2018,20000,Green,30000
Toyota,Highlander,2020,35000,Gray,12000
Subaru,Outback,2019,23000,Yellow,28000
